ii	id	text	title
247	248	) '' . Al - Islaah Publications . Archived from the original on 22 July 2003 . Retrieved 17 August 2006 . Jump up ^ Key to numbered parts translated from , accessed 2 December Jump up ^ The Basis for the Building Work of God p. 37 , Witness Lee , 2003 Jump up ^ Al - Muwatta Of Iman Malik Ibn Ana , p. 186 , Anas , 2013 Jump up ^ Mohamed , Mamdouh N. ( 1996 ) . Hajj to Umrah : From A to Z . Mamdouh Mohamed . ISBN 0 - 915957 - 54 - X . Jump up ^ `` Saudi Arabia says Hajj 2016 receives 1.8 million pilgrims '' . Al Arabiya English . 12 September 2016 . Retrieved 6 October 2016 . Jump up ^ Quran 3 : 96 Jump up ^ Pickthall , Ed. , Muhammad M. `` The Quran '' . Retrieved 10 January 2018 . Another version : `` ( 96 ) Lo ! the first Sanctuary appointed for mankind was that at Becca , a blessed place , a guidance to the peoples ; '' Jump up ^ Shakir , Ed. , M.H. `` The Quran '' . Retrieved 10 January 2018 . And another version : `` ( 96 ) Most surely the first house appointed for men is the one at Bekka , blessed and a guidance for the nations . '' Jump up ^ Quran 22 : 26 Jump up ^ Pickthall , Ed.	Kaaba
248	249	, Muhammad M. `` The Quran '' . Retrieved 10 January 2018 . Another version : `` ( 26 ) And ( remember ) when We prepared for Abraham the place of the ( holy ) House , saying : Ascribe thou no thing as partner unto Me , and purify My House for those who make the round ( thereof ) and those who stand and those who bow and make prostration . '' Jump up ^ Shakir , Ed. , M.H. `` The Quran '' . Retrieved 10 January 2018 . And another version : `` ( 26 ) And when We assigned to Ibrahim the place of the House , saying : Do not associate with Me aught , and purify My House for those who make the circuit and stand to pray and bow and prostrate themselves . '' Jump up ^ Quran 2 : 127 Jump up ^ Pickthall , Ed. , Muhammad M. `` The Quran '' . Retrieved 10 January 2018 . Another version : `` ( 127 ) And when Abraham and Ishmael were raising the foundations of the House , ( Abraham prayed ) : Our Lord ! Accept from us ( this duty ) . Lo ! Thou , only Thou , art the Hearer , the Knower . '' Jump up ^ Shakir , Ed. , M.H. `` The Quran '' . Retrieved 10 January 2018 . And another version : `` ( 127 ) And when Ibrahim and	Kaaba
249	250	Ismail raised the foundations of the House : Our Lord ! accept from us ; surely Thou art the Hearing , the Knowing : '' Jump up ^ Tafsir Ibn Kathir on 3 : 96 . Jump up ^ Sahih Bukhari . Book 55 , Hadith 585 . ^ Jump up to : Ibn Ishaq , Muhammad ( 1955 ) . Ibn Ishaq 's Sirat Rasul Allah -- The Life of Muhammad Translated by A. Guillaume . Oxford : Oxford University Press . pp. 88 -- 9 . ISBN 9780196360331 . ^ Jump up to : Karen Armstrong ( 2002 ) . Islam : A Short History . p. 11 . ISBN 0 - 8129 - 6618 - X . Jump up ^ Ibn Ishaq , Muhammad ( 1955 ) . Ibn Ishaq 's Sirat Rasul Allah -- The Life of Muhammad Translated by A. Guillaume . The text reads `` O God , do not be afraid '' , the second footnote reads `` The feminine form indicates the Ka'ba itself is addressed '' . Oxford : Oxford University Press . p. 85 footnote 2 . ISBN 9780196360331 . Jump up ^ Rice , Edward ( May 1978 ) . Eastern Definitions : A Short Encyclopedia of Religions of the Orient . New York : Doubleday . p. 433 . ISBN 9780385085632 . Jump up ^ Christian Julien Robin ( 2012 ) . Arabia and Ethiopia . In The Oxford Handbook of Late Antiquity . OUP USA . pp.	Kaaba
250	251	304 -- 305 . Jump up ^ Marx , edited by Angelika Neuwirth , Nicolai Sinai , Michael ( 2010 ) . The Qur'an in context historical and literary investigations into the Qur'anic milieu ( PDF ) . Leiden : Brill . pp. 63,123 , 83 , 295 . ISBN 9789047430322 . Archived from the original ( PDF ) on 2 October 2015 . CS1 maint : Extra text : authors list ( link ) ^ Jump up to : Wensinck , A. J ; Ka ` ba . Encyclopaedia of Islam IV p. 318 ( 1927 , 1978 ) Jump up ^ G.E. Von Grunebaum . Classical Islam : A History 600 -- 1258 , p. 19 Jump up ^ Crone , Patricia ( 2004 ) . Makkan Trade and the Rise of Islam . Piscataway , New Jersey : Gorgias . pp. 134 -- 37 Jump up ^ Donner , Fred M. ( 2010 ) . Muhammad and the Believers . Cambridge , Massachusetts : The Belknap Press of Harvard University Press . p. 241 . ISBN 978 - 0 - 674 - 05097 - 6 . Jump up ^ `` A Response to Patricia Crone 's Book '' ( PDF ) . Retrieved 15 October 2010 . Jump up ^ R.B. Serjeant , `` Meccan Trade and the Rise of Islam : Misconceptions and Flawed Polemics '' , Journal of the American Oriental Society , 1990 , p. 472 . Jump up ^ Siculus , Diodorus .	Kaaba
251	252	Bibliotheca Historica . Book 3 Chapter 44 . Jump up ^ Imoti , Eiichi . `` The Ka'ba - i Zardušt '' , Orient , XV ( 1979 ) , The Society for Near Eastern Studies in Japan , pp. 65 -- 69 . Jump up ^ Grunebaum , p. 24 Jump up ^ Armstrong , Jerusalem , p. 221 Jump up ^ Hafiz Ghulam Sarwar . Muhammad the Holy Prophet . pp. 18 -- 19 . Jump up ^ Francis E. Peters , Muhammad and the origins of Islam , SUNY Press , 1994 , p. 109 . Jump up ^ Armstrong , Jerusalem : One City , Three Faiths , pp. 221 -- 22 Jump up ^ Crone , Patricia ( 2004 ) . Makkan Trade and the Rise of Islam . Piscataway , New Jersey : Gorgias . p. 137 Jump up ^ Britannica 2002 Deluxe Edition CD - ROM , `` Ka'bah . '' Jump up ^ Gaster , Moses ( 1927 ) . The Asatir : the Samaritan book of Moses . London : The Royal Asiatic Society . pp. 262 , 71 . Ishmaelites built Mecca ( Baka , Bakh ) Jump up ^ Crown , Alan David ( 2001 ) . Samaritan Scribes and Manuscripts . Tübingen : Mohr Siebeck . p. 27 . Jump up ^ M. Gaster , The Asatir : The Samaritan Book of the `` Secrets of Moses '' , London ( 1927 ) , p. 160 Jump up	Kaaba
252	253	^ Timur Kuran , `` Commercial Life under Islamic Rule , '' in The Long Divergence : How Islamic Law Held Back the Middle East . ( Princeton University Press , 2011 ) , 45 - 62 . Jump up ^ University of Southern California . `` The Prophet of Islam -- His Biography '' . Archived from the original on 21 July 2006 . Retrieved 12 August 2006 . Jump up ^ Guillaume , A. ( 1955 ) . The Life of Muhammad . Oxford : Oxford University Press . pp. 84 -- 87 Jump up ^ Saifur Rahman al - Mubarakpuri , translated by Issam Diab ( 1979 ) . `` Muhammad 's Birth and Forty Years prior to Prophethood '' . Ar - Raheeq Al - Makhtum ( The Sealed Nectar ) : Memoirs of the Noble Prophet . Retrieved 2007 - 05 - 04 . Jump up ^ Cyril Glasse , New Encyclopedia of Islam , p. 245 . Rowman Altamira , 2001 . ISBN 0 - 7591 - 0190 - 6 Jump up ^ Saifur Rahman . The Sealed Nectar . p. 130 . Jump up ^ Saifur Rahman . The Sealed Nectar . p. 213 . Jump up ^ Saifur Rahman . The Sealed Nectar . pp. 250 -- 53 . ^ Jump up to : Ellenbogen , Josh ; Tugendhaft , Aaron ( 18 July 2011 ) . Idol Anxiety . Stanford University Press . p. 47 . ISBN 9780804781817 . When Muhammad	Kaaba
253	254	ordered his men to cleanse the Kaaba of the statues and pictures displayed there , he spared the paintings of the Virgin and Child and of Abraham . Jump up ^ Guillaume , Alfred ( 1955 ) . The Life of Muhammad . A translation of Ishaq 's `` Sirat Rasul Allah '' . Oxford University Press . p. 552 . ISBN 978 - 0196360331 . Retrieved 2011 - 12 - 08 . Quraysh had put pictures in the Ka'ba including two of Jesus son of Mary and Mary ( on both of whom be peace ! ) ... The apostle ordered that the pictures should be erased except those of Jesus and Mary . Jump up ^ Rogerson , Barnaby ( 2003 ) . The Prophet Muhammad : A Biography . Paulist Press . p. 190 . ISBN 9781587680298 . Muhammad raised his hand to protect an icon of the Virgin and Child and a painting of Abraham , but otherwise his companions cleared the interior of its clutter of votive treasures , cult implements , statuettes and hanging charms . Jump up ^ W.M. Flinders Petrie ; Hans F. Helmolt ; Stanley Lane - Poole ; Robert Nisbet Bain ; Hugo Winckler ; Archibald H. Sayce ; Alfred Russel Wallace ; William Lee - Warner ; Holland Thompson ; W. Stewart Wallace ( 1915 ) . The Book of History , a History of All Nations From the Earliest Times to the Present . The Grolier Society .	Kaaba
254	255	Jump up ^ Saifur Rahman . The Sealed Nectar . p. 298 . Jump up ^ Sahih Muslim , 7 : 3083 Jump up ^ Sahih Bukhari 1506 , 1508 ; Sahih Muslim 1333 Jump up ^ Sahih Bukhari 1509 ; Sahih Muslim 1333 Jump up ^ Javed Ahmad Ghamidi . The Rituals of Hajj and ' Umrah Archived 7 March 2010 at the Wayback Machine. , Mizan , Al - Mawrid Jump up ^ `` History of the Kaba '' . Jump up ^ Central Bank of Iran . Banknotes & Coins : 2000 Rials . -- Retrieved on 24 March 2009 . Jump up ^ `` Kaaba '' . Archived from the original on 7 July 2012 . Retrieved 15 October 2010 . Bibliography ( edit ) Armstrong , Karen ( 2000 , 2002 ) . Islam : A Short History . ISBN 0 - 8129 - 6618 - X . Crone , Patricia ( 2004 ) . Meccan Trade and the Rise of Islam . Piscataway , New Jersey : Gorgias . Elliott , Jeri ( 1992 ) . Your Door to Arabia . ISBN 0 - 473 - 01546 - 3 . Guillaume , A. ( 1955 ) . The Life of Muhammad . Oxford : Oxford University Press . Grunebaum , G.E. von ( 1970 ) . Classical Islam : A History 600 A.D. to 1258 A.D . Aldine Publishing Company . ISBN 978 - 0 - 202 - 30767 - 1 . Hawting ,	Kaaba
255	256	G.R ; Ka ` ba . Encyclopaedia of the Qurʾān Hisham Ibn Al - Kalbi The book of Idols , translated with introduction and notes by Nabih Amin Faris 1952 Macaulay - Lewis , Elizabeth , The Kaba '' ( text ) , Smarthistory . Mohamed , Mamdouh N. ( 1996 ) . Hajj to Umrah : From A to Z . Amana Publications . ISBN 0 - 915957 - 54 - X . Peterson , Andrew ( 1997 ) . Dictionary of Islamic Architecture London : Routledge . Wensinck , A. J ; Ka ` ba . Encyclopaedia of Islam IV ( 1915 ) The Book of History , a History of All Nations From the Earliest Times to the Present , Viscount Bryce ( Introduction ) , The Grolier Society . External links ( edit ) Wikimedia Commons has media related to : Kaaba ( category ) Wikisource has the text of the 1905 New International Encyclopedia article Kaaba . Interesting Facts About Kaaba ( Mecca ) that you do n't know Ka'bah info : Everything you want to know about the Holy Ka'bah Description and significance of performing tawaf around the Kaaba SA 's Official Live Webcam of the Kaaba Former door of the Kaaba ( ca . 1635 ) People and things in the Quran ( hide ) Characters Non-humans Allâh ( `` The God '' ) Names of Allah found in the Quran Beings in Paradise Ghilmān or Wildān Ḥūr Animals Related The baqarah (	Kaaba
256	257	cow ) of Israelites The dhi'b ( wolf ) that Jacob feared could attack Joseph The fīl ( elephant ) of the Abyssinians ) Ḥimār ( Domesticated donkey ) The hud - hud ( hoopoe ) of Solomon The kalb ( dog ) of the sleepers of the cave The nāqaṫ ( she - camel ) of Saleh The nūn ( fish or whale ) of Jonah Non-related Ḥimār ( Wild ass ) Qaswarah ( ' Lion ' , ' Beast of prey ' or ' Hunter ' ) Jinns ' Ifrîṫ ( `` Strong one '' ) Mârid ( `` Rebellious one '' ) Iblīs the Shayṭān ( Devil ) Qarīn Prophets Mentioned Ādam ( Adam ) Al - Yasa ' ( Elisha ) Ayyūb ( Job ) Dāwūd ( David ) Dhūl - Kifl ( Ezekiel ? ) Hārūn ( Aaron ) Hūd ( Eber ? ) Idrīs ( Enoch ? ) Ilyās ( Elijah ) ' Imrān ( Joachim the father of Maryam ) Is - ḥāq ( Isaac ) Ismā'īl ( Ishmael ) Dhabih Ullah Isma'il Ṣādiq al - Wa 'd ( Fulfiller of the Promise ) Lūṭ ( Lot ) Ṣāliḥ Shu'ayb ( Jethro , Reuel or Hobab ? ) Sulaymān ibn Dāwūd ( Solomon son of David ) ' Uzair ( Ezra ? ) Yaḥyā ibn Zakariyyā ( John the Baptist the son of Zechariah ) Ya'qūb ( Jacob ) Isrâ'îl ( Israel ) Yūnus ( Jonah ) Dhūn - Nūn ( `` He	Kaaba
257	258	of the Fish ( or Whale ) '' or `` Owner of the Fish ( or Whale ) '' ) Ṣāḥib al - Ḥūṫ ( `` Companion of the Whale '' ) Yūsuf ibn Ya'qūb ( Joseph son of Jacob ) Zakariyyā ( Zechariah ) Ulu - l - ' Azm Muḥammad Aḥmad Other names and titles of Muhammad ʿĪsā ( Jesus ) Al - Masīḥ ( The Messiah ) Ibn Maryam ( Son of Mary ) Mūsā Kalīmullāh ( Moses He who spoke to God ) Ibrāhīm Khalīlullāh ( Abraham Friend of God ) Nūḥ ( Noah ) Debatable ones Dhūl - Qarnain ( Cyrus the Great ? ) Luqmân Maryam ( Mary ) Ṭâlûṫ ( Saul or Gideon ? ) Implied Irmiyā ( Jeremiah ) Ṣamû'îl ( Samuel ) Yūsha ' ibn Nūn ( Joshua , companion and successor of Moses ) People of Prophets Evil ones Āzar ( possibly Terah ) Fir'awn ( Pharaoh of Moses ' time ) Hāmān Jâlûṫ ( Goliath ) Qārūn ( Korah , cousin of Moses ) As - Sāmirī Abî Lahab Slayers of Saleh 's she - camel ( Qaddar ibn Salif and Musda ' ibn Dahr ) Good ones Adam 's immediate relatives Martyred son Wife Believer of Ya - Sin Family of Noah Father Lamech Mother Shamkhah bint Anush or Betenos Luqman 's son People of Aaron and Moses Believer of Fir'aun Family ( Hizbil / Hizqil ibn Sabura ) Imra'aṫ Fir'awn ( Âsiyá bint Muzâḥim or Bithiah )	Kaaba
258	259	Khidr Magicians of the Pharaoh Moses ' wife Moses ' sister - in - law Mother Sister People of Abraham Mother Abiona or Amtelai the daughter of Karnebo Ishmael 's mother Isaac 's mother People of Jesus Disciples ( including Peter ) Mary 's mother Zechariah 's wife People of Joseph Brothers ( including Binyāmin ( Benjamin ) and Simeon ) Egyptians ' Azîz ( Potiphar , Qatafir or Qittin ) Malik ( King Ar - Rayyân ibn Al - Walîd ) ) Wife of ' Azîz ( Zulaykhah ) Mother People of Solomon Mother Queen of Sheba Vizier Zayd Implied or not specified Abrahah Bal'am / Balaam Barsisa Caleb or Kaleb the companion of Joshua Luqman 's son Nebuchadnezzar II Nimrod Rahmah the wife of Ayyub Shaddad Groups Mentioned Aş - ḥāb al - Jannah People of Paradise People of the Burnt Garden Aş - ḥāb as - Sabṫ ( Companions of the Sabbath ) Christian apostles Ḥawāriyyūn ( Disciples of Jesus ) Companions of Noah 's Ark Aş - ḥāb al - Kahf war - Raqīm ( Companions of the Cave and Al - Raqaim ? Companions of the Elephant People of al - Ukhdūd People of a township in Surah Ya - Sin People of Yathrib or Medina Qawm Lûṭ ( People of Sodom and Gomorrah ) Nation of Noah Tribes , ethnicities or families A'rāb ( Arabs or Bedouins ) ʿĀd ( people of Hud ) Companions of the Rass Qawm Tubba ' ( People of	Kaaba
259	260	Tubba ) People of Saba ' or Sheba Quraysh Thamûd ( people of Saleh ) Aṣ - ḥâb al - Ḥijr ( `` Companions of the Stoneland '' ) Ajam Ar - Rûm ( literally `` The Romans '' ) Banî Isrâ'îl ( Children of Israel ) Mu'ṫafikāṫ ( The overthrown cities of Sodom and Gomorrah ) People of Ibrahim People of Ilyas People of Nuh People of Shuaib Ahl Madyan People of Madyan ) Aṣ - ḥāb al - Aykah ( `` Companions of the Wood '' ) Qawm Yûnus ( People of Jonah ) Ya'juj and Ma'juj / Gog and Magog Ahl al - Bayṫ ( `` People of the Household '' ) Household of Abraham Brothers of Yūsuf Daughters of Abraham 's nephew Lot ( Ritha , Za'ura , et al . ) Progeny of Imran Household of Moses Household of Muhammad ibn Abdullah ibn Abdul - Muttalib ibn Hashim Daughters of Muhammad Wives of Muhammad Household of Salih People of Fir'aun Current Ummah of Islam ( Ummah of Muhammad ) Aṣ - ḥāb Muḥammad ( Companions of Muhammad ) Muhajirun ( Emigrants ) Anṣār Muslims of Medina who helped Muhammad and his Meccan followers , literally ' Helpers ' ) People of Mecca Umm Jamil ( wife of Abu Lahab ) Children of Ayyub Dead son of Sulaiman Qabil / Cain ( son of Adam ) Wali'ah or Wa'ilah / Waala ( wife of Nuh ) Walihah or Wahilah ( wife of Lut ) Ya'jūj wa	Kaaba
260	261	Ma'jūj ( Gog and Magog ) Yam or Kan'an ( son of Nuh ) Implicitly mentioned Amalek Ahl al - Suffa ( People of the Verandah ) Banu Nadir Banu Qaynuqa Banu Qurayza Iranian people Umayyad Dynasty Aus & Khazraj People of Quba Religious groups Ahl al - dhimmah ( Dhimmi ) Kâfirûn ( Infidels ) Zoroastrians Munāfiq ūn ( Hypocrites ) Muslims People of the Book ( Ahl al - Kiṫāb ) Naṣārā ( Christian ( s ) or People of the Injil ) Ruhban ( Christian monks ) Qissis ( Christian priest ) Yahūd ( Jews ) Ahbār ( Jewish scholars ) Rabbani / Rabbi Sabians Polytheists Meccan polytheists at the time of Muhammad Mesopotamian polytheists at the time of Abraham and Lot Locations Mentioned Al - Arḍ Al - Mubārakah ( `` The Land The Blessed '' ) Al - Arḍ Al - Muqaddasah ( `` The Land The Holy '' ) In the Arabian Peninsula ( excluding Madyan ) Al - Aḥqāf ( `` The Sandy Plains , '' or `` the Wind - curved Sand - hills '' ) Iram dhāṫ al - ' Imād ( Iram of the Pillars ) Al - Madīnah ( formerly Yathrib ) ' Arafāṫ Al - Ḥijr ( Hegra ) Badr Ḥunayn Makkah ( Mecca ) Bakkah Ka'bah ( Kaaba ) Maqām Ibrāhīm ( Station of Abraham ) Safa and Marwah Saba ' ( Sheba ) ' Arim Saba ' ( Dam of Sheba ) Rass Jahannam ( Hell	Kaaba
261	262	) Jannah ( Paradise , literally ' Garden ' ) In Mesopotamia : Al - Jūdiyy Munzalanm - Mubārakan ( `` Place - of - Landing Blessed '' ) Bābil ( Babylon ) Qaryaṫ Yūnus ( `` Township of Jonah , '' that is Nineveh ) Door of Hittah Madyan ( Midian ) Majma ' al - Bahrain Miṣr ( Mainland Egypt ) Salsabîl ( A river in Paradise ) Sinai Region or Tīh Desert Al - Wād Al - Muqaddas Ṭuwan ( The Holy Valley of Tuwa ) Al - Wādil - Ayman ( The valley on the ' righthand ' side of the Valley of Tuwa and Mount Sinai ) Mount Sinai or Mount Tabor Implied Antioch Antakya Arabia Ayla Barrier of Dhul - Qarnayn Bayt al - Muqaddas & ' Ariha Bilād ar - Rāfidayn ( Mesopotamia ) Canaan Cave of Seven Sleepers Dār al - Nadwa Al - Ḥijāz ( literally `` The Barrier '' ) Black Stone ( Al - Ḥajar al - Aswad ) & Al - Hijr of Isma'il Cave of Hira & Ghar al - Thawr ( Cave of the Bull ) Ta'if Hudaybiyyah Jordan River Nile River Palestine River Paradise of Shaddad Religious locations Bay'a ( Church ) Mihrab Monastery Masjid ( Mosque , literally `` Place of Prostration '' ) Al - Mash'ar Al - Ḥarām ( `` The Monument the Sacred '' ) Al - Masjid Al - Aqṣā ( Al - Aqsa Mosque , literally `` The Place	Kaaba
262	263	- of - Prostration The Farthest '' ) Al - Masjid Al - Ḥarām ( The Sacred Mosque of Mecca ) Masjid al - Dirar A Mosque in the area of Medina , possibly : Masjid Qubâ ' ( Quba Mosque ) The Prophet 's Mosque Salat ( Synagogue ) Plant matter Fruits Ḥabb dhul - ' aṣf ( Corn of the husk ) Rummān ( Pomegranate ) Ukul khamṭ ( Bitter fruit or food of Sheba ) In Paradise Forbidden fruit of Adam Bushes , trees or plants Plants of Sheba Athl ( Tamarisk ) Sidr ( lote - tree ) Līnah ( Tender palm tree ) Nakhl ( date palm ) Rayḥān ( Scented plant ) Sidraṫ al - Munṫahā Zaqqūm Texts Al - Injîl ( The Gospel of Jesus ) Al - Qur'ân ( The Book of Muhammad ) Ṣuḥuf - i Ibrâhîm ( Scroll ( s ) of Abraham ) Aṫ - Ṫawrâṫ ( The Torah ) Ṣuḥuf - i - Mûsâ ( Scroll ( s ) of Moses ) Tablets of Stone Az - Zabûr ( The Psalms of David ) Umm al - Kiṫâb ( `` Mother of the Book ( s ) '' ) Objects of people or beings Heavenly Food of Christian Apostles Noah 's Ark Staff of Musa Ṫābūṫ as - Sakīnah ( Casket of Shekhinah ) Throne of Bilqis Trumpet of Israfil Mentioned idols ( cult images ) ' Ansāb Idols of Israelites : Baal The ' ijl ( golden	Kaaba
263	264	calf statue ) of Israelites Idols of Noah 's people : Nasr Suwā ' Wadd Yaghūth Ya'ūq Idols of Quraysh : Al - Lāṫ Al - ' Uzzá Manāṫ Jibṫ and Ṭâghûṫ Celestial bodies Maṣābīḥ ( literally ' lamps ' ) : Al - Qamar ( The Moon ) Kawâkib ( Planets ) Al - Arḍ ( The Earth ) Nujūm ( Stars ) Ash - Shams ( The Sun ) Liquids Mā ' ( Water or fluid ) Nahr ( River ) Yamm ( River or sea ) Sharâb ( Drink ) Events Battle of al - Aḥzāb ( `` the Confederates '' ) Battle of Badr Battle of Hunayn Battle of Khaybar Battle of Tabouk Battle of Uhud Conquest of Mecca Incident of Ifk Laylat al - Mabit Mubahala Sayl al - ' Arim ( Flood of the Great Dam of Marib in Sheba ) The Farewell Pilgrimage ( Hujja al - Wada ' ) Treaty of Hudaybiyyah Umrah al - Qaza Yawm al - Dār Implied Event of Ghadir Khumm Note : The names are sorted alphabetically . Standard form : Islamic name / Biblical name ( title or relationship ) Hajj topics Every year , from the eighth to the twelfth day of Dhu al - Hijjah . Preparation Ihram Miqat Dhu'l - Hulayfah Juhfah Yalamlam Sequence Tawaf Zamzam Well Safa and Marwa Mina Mount Arafat Muzdalifah Rami al - Jamarat Eid al - Adha Tawaf al - Ifadah Tawaf al - Wida Mosques Great Mosque	Kaaba
264	265	of Mecca Al - Masjid an - Nabawi Masjid - u-Shajarah Rabigh History VIAF : 247665120 GND : 4100796 - 7 Retrieved from `` https://en.wikipedia.org/w/index.php?title=Kaaba&oldid=826677378 '' Categories : Kaaba Hajj Places of worship converted into mosques Hidden categories : CS1 maint : Extra text : authors list Webarchive template wayback links Use dmy dates from September 2015 Coordinates on Wikidata Articles containing Arabic - language text Articles to be expanded from April 2016 All articles to be expanded Articles using small message boxes All articles with unsourced statements Articles with unsourced statements from January 2018 Articles with unsourced statements from January 2016 All articles with failed verification Articles with failed verification from January 2016 Articles needing additional references from January 2016 All articles needing additional references All articles lacking reliable references Articles lacking reliable references from January 2016 Wikipedia articles with VIAF identifiers Wikipedia articles with GND identifiers Articles containing video clips Talk Contents About Wikipedia Wikimedia Commons Acèh Afrikaans አማርኛ অসমীয়া Авар Azərbaycanca تۆرکجه বাংলা Bân - lâm - gú Башҡортса Беларуская Беларуская ( тарашкевіца ) ‎ Bikol Central Български Bosanski Català Čeština Dansk Deutsch ދިވެހިބަސް Eesti Ελληνικά Español Esperanto Euskara فارسی Français Gaeilge Galego 한국어 Հայերեն हिन्दी Hrvatski Bahasa Indonesia Interlingua Íslenska Italiano עברית Basa Jawa ქართული Қазақша Kiswahili Kurdî Кыргызча Latina Latviešu Lietuvių Magyar Македонски മലയാളം मराठी Bahasa Melayu Nederlands 日本 語 Нохчийн Norsk Norsk nynorsk Occitan Oʻzbekcha / ўзбекча ਪੰਜਾਬੀ پنجابی Polski Português Română Русский Scots Shqip Sicilianu Simple English Slovenčina Soomaaliga کوردی Српски / srpski	Kaaba
265	266	Srpskohrvatski / српскохрватски Basa Sunda Suomi Svenska தமிழ் Татарча / tatarça తెలుగు ไทย Тоҷикӣ Türkçe Українська اردو ئۇيغۇرچە / Uyghurche Tiếng Việt Winaray Yorùbá 粵語 中文 Edit links This page was last edited on 20 February 2018 , at 12 : 44 . Text is available under the Creative Commons Attribution - ShareAlike License ; additional terms may apply . By using this site , you agree to the Terms of Use and Privacy Policy . Wikipedia ® is a registered trademark of the Wikimedia Foundation , Inc. , a non-profit organization . About Wikipedia	Kaaba
266	267	Chris Carter ( right - handed hitter ) - wikipedia Chris Carter ( right - handed hitter ) Jump to : navigation , search For the Major League Baseball outfielder , see Chris Carter ( left - handed hitter ) . Chris Carter Carter with the Houston Astros Oakland Athletics First baseman / Designated hitter Born : ( 1986 - 12 - 18 ) December 18 , 1986 ( age 30 ) Redwood City , California Bats : Right Throws : Right MLB debut August 9 , 2010 , for the Oakland Athletics MLB statistics ( through July 2 , 2017 ) Batting average . 218 Home runs 158 Runs batted in 400 Teams Oakland Athletics ( 2010 -- 2012 ) Houston Astros ( 2013 -- 2015 ) Milwaukee Brewers ( 2016 ) New York Yankees ( 2017 ) Career highlights and awards NL home run leader ( 2016 ) Vernon Christopher Carter ( born December 18 , 1986 ) is an American professional baseball first baseman and designated hitter who currently plays for the Oakland Athletics organization . He previously played in Major League Baseball ( MLB ) for the Athletics , Houston Astros , Milwaukee Brewers , and New York Yankees . In 2016 , while playing for the Brewers , Carter led the National League in home runs , along with Colorado Rockies third baseman Nolan Arenado , with 41 . Contents ( hide ) 1 Early life and career 2 Professional career 2.1 Draft and minors	Chris Carter (right-handed hitter)
267	268	2.2 Oakland Athletics 2.3 Houston Astros 2.4 Milwaukee Brewers 2.5 New York Yankees 2.6 Return to the Oakland Athletics 3 Personal life 4 References 5 External links Early life and career ( edit ) Carter was born in Redwood City , California . At approximately age 7 or 8 , his family moved to Las Vegas . He attended Sierra Vista High School . In 2005 , Sierra Vista 's baseball team won the Nevada Interscholastic Activities Association Class 4A state championship . Professional career ( edit ) Draft and minors ( edit ) Carter was drafted by the Chicago White Sox in the 15th round of the 2005 Major League Baseball Draft . Carter began his professional career with the Bristol White Sox of the Rookie - level Appalachian League in 2005 . He hit 10 home runs and had 37 runs batted in ( RBIs ) . He played for two teams in the 2006 season . The teams included the Great Falls White Sox of the Rookie - level Pioneer League and the Kannapolis Intimidators of the Class A South Atlantic League . He had a combined total of 16 home runs and 63 RBIs . He played for Kannapolis in the 2007 season where he hit 25 home runs and had 93 RBIs . During the 2007 offseason , the White Sox traded Carter to the Arizona Diamondbacks for Carlos Quentin . Carter with the Athletics in 2012 Oakland Athletics ( edit ) Two weeks after	Chris Carter (right-handed hitter)
268	269	he was traded to Arizona , the Diamondbacks traded Carter , Carlos González , Brett Anderson , Aaron Cunningham , Greg Smith , and Dana Eveland to the Oakland Athletics for Dan Haren and Connor Robertson . He played for the Stockton Ports of the Class A-Advanced California League in the 2008 season where he hit 39 home runs and had 104 RBIs . Carter was named the California League Rookie of the Year for the 2008 season . In 2009 , Carter split time between the Midland RockHounds of the Class AA Texas League and the Sacramento River Cats of the Class AAA Pacific Coast League ( PCL ) , putting a . 329 batting average ( a 70 - point increase from 2008 ) , 28 homers and 115 RBIs combined . In 2008 and 2009 , Baseball America ranked Carter as one of the top 10 prospects in the Athletics ' organization . Also in 2008 and 2009 , Carter was the Oakland Athletics ' Minor League Player of Year . Carter was placed on the A 's 40 - man roster on November 20 , 2009 . In 2009 , he was named the This Year in Minor League Baseball Awards `` Overall Hitter of The Year '' . On August 9 , 2010 , Carter was promoted to Oakland and went 0 -- for -- 3 in his first game . On August 16 , Carter was demoted to Sacramento after starting his career 0	Chris Carter (right-handed hitter)
269	270	-- for -- 19 with 12 strikeouts . After the AAA season ended , Carter was recalled to Oakland . On September 20 , he snapped his 0 -- for -- 33 streak with a single in the sixth inning . On September 22 , 2010 Carter hit his first major league home run against the Chicago White Sox . Carter finished the 2010 season with a . 186 batting average across 78 plate appearances and 24 games . He played in the Venezuelan Winter League upon completion of the 2010 season . He hit . 136 in 15 MLB games the next year , spending most of that season in the Athletics ' minor league system . He also split the 2012 season between MLB and the minor leagues , hitting . 239 with 16 home runs and 39 RBI in 67 games . Houston Astros ( edit ) After the 2012 season , the Athletics traded Carter to the Houston Astros with Brad Peacock and Max Stassi for Jed Lowrie and Fernando Rodriguez . Carter with the Astros in 2013 During the 2013 season , Carter played 148 games batting . 223 with 29 home runs , 82 RBI , and struck out an MLB - leading 212 times . He became only the fourth player to strikeout 200 times in a season , and his number of strikeouts set a new American League record for a right - handed hitter . The 2014 season started out even	Chris Carter (right-handed hitter)
